#EXPORTTYPE:DATA ALL,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:31.01.2019 00:25,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:DS,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:872.52,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:30°C....1350°C/0.0....50.0K/min,,,,
#SEGMENT:S1-4/4,,,,
#SEG. 1:30°C/50.0(K/min)/1250°C,,,,
#SEG. 2:1250°C/10.0(K/min)/1350°C,,,,
#SEG. 3:1350°C/00:15/1350°C,,,,
#SEG. 4:1350°C/04:00/1350°C,,,,
,,,surface area,2.519378
##Temp./°C,Time/min,Mass loss/mg,,
1350.03294,173.75,3.4835832,,
1350.03155,174,3.4738632,,
1350.0318,174.25,3.4747488,,
1350.03197,174.5,3.4783236,,
1350.02832,174.75,3.4848144,,
1350.02683,175,3.4891236,,
1350.02738,175.25,3.4844364,,
1350.02874,175.5,3.4885512,,
1350.03261,175.75,3.486456,,
1350.03173,176,3.4999128,,
1350.03307,176.25,3.4970076,,
1350.03404,176.5,3.4893288,,
1350.03542,176.75,3.5003772,,
1350.03444,177,3.4881948,,
1350.03173,177.25,3.5090496,,
1350.02727,177.5,3.4963056,,
1350.02724,177.75,3.4993404,,
1350.02867,178,3.5041248,,
1350.03478,178.25,3.500334,,
1350.03761,178.5,3.5012088,,
1350.0369,178.75,3.5018244,,
1350.03892,179,3.4998912,,
1350.03959,179.25,3.5088444,,
1350.03531,179.5,3.5046,,
1350.03407,179.75,3.5032608,,
1350.02996,180,3.5063172,,
1350.02936,180.25,3.5169876,,
1350.02897,180.5,3.510378,,
1350.02889,180.75,3.514644,,
1350.03026,181,3.5040492,,
1350.02678,181.25,3.5094384,,
1350.02845,181.5,3.5159184,,
1350.03029,181.75,3.5222148,,
1350.03313,182,3.5235972,,
1350.03223,182.25,3.529386,,
1350.02961,182.5,3.531708,,
1350.02998,182.75,3.5319456,,
1350.02991,183,3.5226036,,
1350.03357,183.25,3.5267184,,
1350.03149,183.5,3.5268696,,
1350.03028,183.75,3.5367624,,
1350.03189,184,3.5410068,,
1350.03047,184.25,3.539484,,
1350.03106,184.5,3.537918,,
